-7.666658878326416 193.9998016357422 2	0.002251357	2.268028e-07	77.64935	19.02104	   79.8109970    	269.5527648925781 555445.7498489823 2.602562202499807 214.8015099319757 191.4173278808594
1.333331942558289 340.3329772949219 2	0.006593643	3.559449e-07	70.45533	11.33749	   81.8339462    	37.05574035644531 94759.494073679 180 219.8476569134256 202.1259918212891
-3.999995708465576 53.33327865600586 2	0.003229046	3.421842e-07	69.05141	21.96397	   87.8814926    	99.35849761962891 250736.7200730884 29.74488129694222 220.2407394159036 200.7873992919922
1.333331942558289 2.333330869674683 2	0.003966036	3.831762e-07	59.51797	12.34624	   81.2785263    	12.35498237609863 26095.58740396057 -90 221.5354349236739 203.4645690917969
5.999993801116943 99.99989318847656 2	2.863796e-05	-8.503114e-09	60.7979	4.387602	   76.9774399    	12.28757572174072 32786.26623853479 180 209.2929801940918 188.7401580810547
-2.333330869674683 159.66650390625 2	0.01214991	2.89812e-07	77.9165	7.469913	   87.9897232    	17.46409225463867 13725.92401352542 135 225.0826797485352 211.4960632324219
-15.9999828338623 153.66650390625 2	0.004355954	-2.511464e-07	77.84461	12.77298	   80.2017212    	11.87615013122559 25088.42992527541 0 222.4160798725329 206.8110198974609
-15.9999828338623 323.6663208007812 2	0.0003989839	1.687154e-07	36.78289	10.69684	   87.5855942    	27.40728378295898 6602.912238118769 116.565051177078 227.6929168701172 220.8661499023438
26.33330535888672 176.9998168945312 2	1.498626e-05	-3.358582e-07	37.59578	44.24218	   38.6640015    	57.60517883300781 19692.62913472093 -143.130102354156 228.4374990463257 224.8818969726562
2.999996900558472 86.99990844726562 2	0.001276517	7.239238e-08	94.42175	15.44542	   88.0842361    	113.7578735351562 128930.9567394424 12.52880770915151 226.3771174004737 213.5039367675781
-4.99999475479126 145.9998474121094 2	0.00235476	6.879161e-08	90.92891	8.770727	   93.9509735    	17.43694496154785 10948.38376353573 135 228.5629920959473 224.2126007080078
-17.99998092651367 145.9998474121094 2	0.0004225605	-1.020268e-07	69.80492	17.45424	   73.0344009    	50.80763626098633 11751.00364315204 -75.96375653207353 228.2283477783203 218.1889801025391
-10.66665554046631 79.66658020019531 2	0.004777021	-5.52866e-07	80.95161	24.23057	   70.3387146    	60.98340225219727 178091.671417631 143.130102354156 217.5501087073124 196.7716522216797
