-14.33331871032715 128.3332061767578 2	0.03222687	-5.87068e-07	83.69917	11.0432	   90.1882401    	27.46430015563965 123734.3835462487 63.43494882292201 208.4590644426243 177.3621978759766
-10.9999885559082 111.999885559082 2	0.01890876	-6.976104e-07	76.04831	8.814293	   70.7486725    	24.25626564025879 75531.61768728806 180 216.4440392085484 198.1102294921875
-10.9999885559082 117.9998779296875 3	0.04495612	-7.479002e-07	86.99123	9.057145	   80.4091721    	37.06495666503906 36408.69314259614 90 217.81714714898 199.4488220214844
-17.99998092651367 175.6664886474609 3	0.03231346	-7.210518e-07	84.41082	8.952288	   75.3220749    	26.56992721557617 44405.13243951313 153.434948822922 221.6535433600931 204.8031463623047
-12.33332061767578 138.6665191650391 3	0.09416036	-1.446902e-06	89.07338	13.51385	   83.1009064    	12.3549747467041 428151.4442964051 90 209.0643754917252 182.7165374755859
-12.33332061767578 136.9998626708984 4	0.04516479	-1.284264e-06	87.75253	15.81867	   74.5939865    	131.8354034423828 281642.0512116262 146.3099324740202 210.1319839477539 182.7165374755859
14.33331871032715 261.9997253417969 6	0.009629084	2.21713e-07	81.46286	5.77297	   83.1795883    	17.18341827392578 142365.5923906496 135 213.1974400315329 192.0866088867188
7.666658878326416 241.3330841064453 6	0.0003013773	-5.515121e-08	52.42352	4.69332	   77.9018555    	12.3549747467041 152436.7049997196 90 215.5476672308785 196.7716522216797
6.666659832000732 268.9997253417969 6	0.0002904158	-9.661703e-08	55.48946	11.51585	   70.8233490    	101.8235244750977 6821.609155962302 104.0362434679265 224.4803131103516 214.1732177734375
8.666657447814941 236.3330841064453 6	0.01777133	4.686561e-07	85.93113	8.746702	   74.6472092    	55.09665679931641 281119.5921947489 116.565051177078 221.4546022276947 196.7716522216797
13.33331966400146 258.3330688476562 7	0.00391545	2.159263e-07	88.16312	12.75522	   73.6675644    	61.12052917480469 45450.14260336282 53.13010235415598 217.0275609633502 198.7795257568359
12.99998664855957 262.3330688476562 7	3.698908e-05	7.848372e-09	84.02026	7.727855	   72.5698471    	24.10813140869141 159281.4496415419 180 209.7075367134158 190.0787353515625
27.99997138977051 298.6663513183594 7	0.007507231	3.954311e-07	63.88387	6.914859	   76.5855637    	25.10184288024902 141925.167564231 -153.434948822922 216.2726306100177 204.1338653564453
16.66664886474609 248.3330688476562 7	0.00647039	4.196916e-07	67.22044	8.591681	   71.6073303    	27.39887619018555 34241.10344863294 116.565051177078 217.3652326143705 198.1102294921875
19.66664695739746 145.6665191650391 7	0.01607814	8.195416e-07	68.68105	13.76923	   80.0204391    	37.06495666503906 5169.261733300562 90 227.8937034606934 225.5511779785156
12.33332061767578 237.6664123535156 7	0.001624165	1.207304e-07	59.93026	4.257912	   79.1457443    	27.103515625 76466.18451806356 153.434948822922 215.8405866120991 197.4409484863281
20.99997901916504 146.3331756591797 7	0.01091577	6.637758e-07	62.32364	9.872041	   76.4277267    	0 105250.3426368664 0 210.6716922666968 188.7401580810547
12.33332061767578 256.6664123535156 7	0.009979751	6.097616e-07	66.27647	11.37566	   76.4037933    	12.0535717010498 308543.3944568721 180 216.8940439638884 192.7559051513672
12.33332061767578 252.3330688476562 8	0.01243032	4.594685e-07	88.61083	10.49544	   68.8735275    	38.9681282043457 213285.1678389483 108.434948822922 207.3792902148745 183.3858337402344
18.99998092651367 280.6663818359375 8	0.009346987	2.694838e-07	84.81343	9.833093	   83.5900574    	0 75328.92901498091 0 219.8968245407631 204.8031463623047
16.66664886474609 143.3331909179688 8	0.02713349	8.007641e-07	74.90898	10.6919	   80.5657806    	44.01179122924805 30248.8880375437 -123.6900675259798 213.6785357931386 192.0866088867188
14.99998474121094 247.3330688476562 8	0.01114954	6.850178e-07	67.68279	8.711839	   67.0248032    	64.58379364013672 62338.92285186142 -21.80140948635181 213.57513914717 196.7716522216797
16.66664886474609 248.9997406005859 8	0.00576312	4.546555e-07	68.24205	7.955146	   63.7069206    	26.72072792053223 6582.705580549139 -153.434948822922 215.3779571533203 204.1338653564453
13.33331966400146 257.6664123535156 8	0.002266528	-3.14574e-07	58.37501	9.828785	   70.0859070    	17.23237037658691 82906.38567787454 45 218.7071385537425 201.4566955566406
10.66665554046631 261.3330688476562 8	0.004223245	5.258307e-07	59.1592	10.85831	   68.0807419    	27.20852088928223 91790.02310635752 153.434948822922 216.8405512641458 197.4409484863281
20.33331298828125 288.9996948242188 8	0.007012855	7.286869e-07	60.76294	14.36613	   73.9573669    	62.74217987060547 318206.5789381285 158.1985905136482 217.1891044585811 200.1181030273438
16.33331680297852 256.9997253417969 8	0.002464428	1.065326e-07	82.68297	6.76045	   78.1639557    	34.27455520629883 112038.8596491572 -135 222.3937018899357 207.4803161621094
13.66665267944336 133.6665344238281 8	0.04985669	7.334934e-07	87.21079	9.939521	   86.4007187    	47.95198059082031 492224.2826777297 180 216.6091595988287 182.0472412109375
