13.66665267944336 255.6663970947266 1	-6.03364e-08	64.11607	17.307	   71.985947    	49.68147277832031 48087.87842105259 165.9637565320735 224.2311931186252 217.5196838378906
5.666660785675049 122.3332061767578 1	7.47307e-08	19.75975	7.984477	   80.148438    	27.59645462036133 8199.774481714157 -63.43494882292201 228.0052490234375 221.5354309082031
-9.99998950958252 218.6664428710938 1	2.175675e-08	68.1452	15.08539	   81.560661    	12.3549747467041 20290.76294460977 90 229.4330708821614 221.5354309082031
2.333330869674683 72.66658782958984 1	8.341709e-09	57.40458	13.89117	   78.560219    	44.52762222290039 146842.1987235562 146.3099324740202 222.1109011641173 210.1574859619141
-6.999992847442627 134.9998626708984 1	-1.243317e-07	60.45053	6.384648	   87.140709    	88.5877685546875 43628.8405101218 146.3099324740202 219.9249520301819 198.7795257568359
-5.999993801116943 107.6665573120117 1	-5.277628e-08	86.96796	10.78627	   88.488480    	27.51242446899414 30065.15570024561 26.56505117707799 224.6080911809748 216.1810913085938
-8.333324432373047 91.66657257080078 1	5.809913e-09	67.03579	12.7941	   84.497307    	27.40246200561523 183518.7435505708 -153.434948822922 214.5252275254991 196.1023559570312
0 118.3332061767578 1	1.284023e-07	73.38689	14.91246	   87.346390    	0 42586.84602894185 0 215.1016023697392 203.4645690917969
15.9999828338623 243.6664123535156 1	-2.169601e-07	77.92501	36.94928	   65.157341    	35.68774032592773 128064.3236595729 0 229.6980290363744 219.5275573730469
-15.66665077209473 289.3330383300781 1	6.530764e-08	91.05303	8.601964	   0.0000000    	11.89624786376953 142775.7162696977 180 222.6509204440647 206.8110198974609
-22.99997520446777 49.33328247070312 1	1.751091e-08	78.09602	15.95732	   68.781456    	27.18963050842285 84680.2510671349 63.43494882292201 225.2515003716768 214.1732177734375
1.999997854232788 280.3330383300781 1	1.55349e-07	91.89454	6.561711	   66.612602    	0 13729.64292714612 0 222.9409469604492 218.1889801025391
-13.99998569488525 122.3332061767578 1	-7.430846e-08	90.0753	19.8349	   83.166801    	34.40548324584961 7996.013368420225 135 221.5354334513346 210.8267669677734
-13.33331966400146 103.9998931884766 1	-1.23697e-07	89.2317	23.25798	   83.593086    	12.02172946929932 46783.14503591783 180 221.6884142194475 210.1574859619141
-11.3333215713501 148.9998474121094 1	-6.979965e-09	89.45804	11.81719	   78.369438    	24.7099494934082 61925.67101934407 90 218.5090733403745 200.1181030273438
-6.999992847442627 136.9998626708984 2	-3.126828e-08	64.36505	26.7388	   86.891060    	39.04486846923828 13634.61358458256 -71.56505117707799 221.2007904052734 211.4960632324219
-8.666657447814941 199.3331298828125 2	7.072389e-08	74.74564	16.84595	   84.727776    	12.35500621795654 12218.15999365979 90 222.7996520996094 214.842529296875
-16.9999828338623 166.9998321533203 2	7.132113e-08	52.18675	13.93826	   81.523674    	34.24682998657227 5259.666024204289 -135 230.7381896972656 226.8897705078125
-4.333328723907471 133.6665344238281 2	5.905855e-08	97.88882	19.76466	   90.975609    	0 23285.27465420474 0 228.6220487706802 222.2047271728516
4.666661739349365 87.33324432373047 2	4.643261e-08	76.92375	15.80932	   82.663734    	27.55848503112793 332731.5235615686 153.434948822922 212.73549184289 192.0866088867188
-14.99998474121094 99.66656494140625 2	-1.594854e-07	57.66531	13.13479	   75.321129    	27.44886207580566 13278.12984357244 -116.565051177078 226.4212615966797 216.1810913085938
4.99999475479126 277.3330383300781 2	1.251506e-07	71.56445	7.629668	   78.081718    	27.60234832763672 5474.284523863621 -63.43494882292201 223.5433082580566 211.4960632324219
0.999998927116394 145.3331756591797 2	1.915993e-07	89.92635	11.25634	   89.954880    	39.06237411499023 5494.079481204323 161.565051177078 228.2283515930176 222.8740234375
-4.333328723907471 94.33323669433594 2	1.02404e-07	72.3644	19.37798	   78.382645    	24.63912200927734 27396.06610720645 180 227.9606307983398 220.8661499023438
-11.3333215713501 209.3331146240234 2	-3.909382e-08	58.30706	25.24658	   81.050461    	38.98286819458008 78084.311784249 108.434948822922 224.5934032571727 212.1653442382812
6.333326816558838 281.6663818359375 2	8.629963e-09	75.65523	9.447407	   67.483742    	71.89244842529297 9556.126485387756 -120.9637565320735 226.7941523960658 220.1968536376953
3.999995708465576 325.6663208007812 2	1.577977e-08	56.53822	28.4249	   66.627434    	74.95869445800781 8222.690879844589 -9.462322208025617 227.5590565999349 226.2204742431641
-23.99997520446777 186.9998016357422 2	6.158405e-08	98.46503	22.10493	   70.078934    	25.7073974609375 136693.4618066059 26.56505117707799 224.6117196739267 216.1810913085938
-10.33332252502441 77.333251953125 2	-1.44406e-07	72.3591	20.23551	   80.749275    	36.46359634399414 206819.7916788971 0 218.897639156167 200.7873992919922
-3.666662931442261 62.33326721191406 2	7.763146e-08	30.22517	25.28541	   75.415886    	66.43613433837891 23310.54922673537 -158.1985905136482 226.5354371912339 218.8582763671875
-29.33330345153809 221.9997711181641 2	1.02478e-07	57.29127	17.29421	   65.276878    	24.86337280273438 52710.71856793764 -26.56505117707799 220.8813563260165 210.8267669677734
-9.666656494140625 137.9998626708984 2	4.245345e-08	89.08542	30.76509	   79.233482    	12.17933177947998 261250.6602294032 0 214.0587905330362 180.7086639404297
1.666664958000183 139.6665191650391 2	6.361036e-08	88.5677	39.34046	   77.695427    	49.39860916137695 90622.09547503669 180 224.7094994747277 216.1810913085938
4.666661739349365 271.9997253417969 2	-2.552984e-08	80.5572	5.877874	   82.622459    	27.61044502258301 31492.05991835415 116.565051177078 224.5326962678329 212.8346557617188
-11.99998760223389 192.6664581298828 3	-2.204751e-08	83.32779	12.81215	   84.655907    	24.70998001098633 917480.5263640058 -90 216.6566528409545 192.7559051513672
2.333330869674683 234.3330841064453 3	5.31456e-08	62.73869	32.42706	   53.782784    	17.4637336730957 72752.53978203749 -135 222.7351068460716 212.1653442382812
4.666661739349365 307.3330078125 3	-3.04707e-08	96.42609	16.40897	   63.620358    	12.31530952453613 24643.49972341679 180 222.7252858479818 216.1810913085938
7.666658878326416 151.3331756591797 3	3.150985e-08	47.73722	10.11899	   84.510620    	17.39107704162598 14975.60198159017 -135 228.9584836092862 222.8740234375
15.33331775665283 208.9997863769531 3	2.118326e-08	56.80524	45.62079	   58.037567    	44.09484481811523 41082.8085169769 56.30993247402021 225.8750329786731 218.1889801025391
3.333329916000366 8.999990463256836 3	1.871058e-08	63.04105	14.49965	   81.664360    	61.74391937255859 12341.33130225401 126.869897645844 218.7095387776693 204.1338653564453
5.999993801116943 177.6664886474609 3	2.557204e-07	63.18462	14.57753	   90.956429    	27.49832534790039 64230.07560645612 -153.434948822922 222.3898506976188 206.1417388916016
7.333325862884521 211.3331146240234 3	-3.985522e-09	75.51186	23.02125	   70.239578    	96.25272369384766 10899.21948648188 50.19442890773481 231.2401599884033 228.2283477783203
