-7.666658878326416 193.9998016357422 2	9.281018e-05	2.456283e-08	78.62063	17.86662	   80.5342102    	269.5527648925781 555445.7498489823 2.602562202499807 214.8015099319757 191.4173278808594
1.333331942558289 340.3329772949219 2	0.0003324414	4.372871e-08	74.07754	11.464	   82.3588638    	37.05574035644531 94759.494073679 180 219.8476569134256 202.1259918212891
-3.999995708465576 53.33327865600586 2	0.0002864987	6.394849e-08	71.4664	22.60596	   88.7748413    	99.35849761962891 250736.7200730884 29.74488129694222 220.2407394159036 200.7873992919922
1.333331942558289 2.333330869674683 2	5.862027e-05	2.244473e-08	61.78815	13.77365	   82.7342758    	12.35498237609863 26095.58740396057 -90 221.5354349236739 203.4645690917969
5.999993801116943 99.99989318847656 2	0.0002611305	3.209987e-08	60.99877	3.239292	   78.0472641    	12.28757572174072 32786.26623853479 180 209.2929801940918 188.7401580810547
-2.333330869674683 159.66650390625 2	0.0006310464	3.533826e-08	82.39365	7.171923	   87.8924332    	17.46409225463867 13725.92401352542 135 225.0826797485352 211.4960632324219
-15.9999828338623 153.66650390625 2	0.0003772108	-6.072574e-08	79.62856	16.84067	   78.7111740    	11.87615013122559 25088.42992527541 0 222.4160798725329 206.8110198974609
-15.9999828338623 323.6663208007812 2	0.0001131166	5.718902e-08	39.53563	9.075889	   87.0806580    	27.40728378295898 6602.912238118769 116.565051177078 227.6929168701172 220.8661499023438
26.33330535888672 176.9998168945312 2	1.196953e-07	-9.696892e-09	46.26302	47.01274	   38.2112732    	57.60517883300781 19692.62913472093 -143.130102354156 228.4374990463257 224.8818969726562
2.999996900558472 86.99990844726562 2	7.156275e-05	-1.259292e-08	98.37302	19.88521	   86.3631973    	113.7578735351562 128930.9567394424 12.52880770915151 226.3771174004737 213.5039367675781
-4.99999475479126 145.9998474121094 2	0.001470576	7.256056e-08	90.58221	11.49077	   85.9024048    	17.43694496154785 10948.38376353573 135 228.5629920959473 224.2126007080078
-17.99998092651367 145.9998474121094 2	0.000338285	-7.757931e-08	77.34383	19.38611	   73.4443512    	50.80763626098633 11751.00364315204 -75.96375653207353 228.2283477783203 218.1889801025391
-10.66665554046631 79.66658020019531 2	3.219492e-06	-5.358956e-09	75.21108	27.55211	   71.7130432    	60.98340225219727 178091.671417631 143.130102354156 217.5501087073124 196.7716522216797
-13.33331966400146 40.99995803833008 2	2.915079e-05	-2.991322e-08	57.33344	21.56305	   73.9147720    	17.2327995300293 25405.5899260399 135 220.196852031507 205.4724426269531
-23.33330917358398 182.3331451416016 2	2.160267e-06	8.467275e-09	52.98336	31.77619	   76.1222687    	72.25104522705078 16385.86701874602 161.565051177078 223.7492441030649 210.1574859619141
7.333325862884521 89.66657257080078 2	1.302092e-06	-8.200564e-09	38.4496	23.86388	   78.2755508    	17.40446281433105 13628.67709943835 135 220.2637817382812 207.4803161621094
-16.66664886474609 124.6665344238281 2	2.056169e-05	1.752599e-08	58.22422	4.080595	   49.4185486    	35.50762176513672 107948.385327137 180 209.2351645492926 189.4094543457031
-9.33332347869873 170.6664886474609 2	2.334386e-05	-1.271953e-08	52.86424	11.17352	   87.4829559    	86.8826904296875 399885.4382735482 -45 218.0664627851066 186.06298828125
-14.66665172576904 205.9997863769531 2	9.903481e-06	-1.477262e-08	54.46392	23.65224	   80.6310501    	87.31510925292969 73097.00841423809 -81.86989764584403 216.9112396240234 201.4566955566406
3.333329916000366 79.333251953125 2	1.805382e-06	4.351449e-09	39.62389	9.397457	   80.1949158    	12.33435535430908 5484.96896005254 0 227.7263793945312 222.8740234375
3.999995708465576 6.999992847442627 3	4.537462e-05	-2.731055e-08	43.86171	9.01596	   83.5924606    	61.70064926147461 13705.52252482576 143.130102354156 224.6141754150391 219.5275573730469
-14.66665172576904 141.3331909179688 3	9.821959e-05	1.50343e-08	59.72858	5.684163	   94.1277847    	17.18375968933105 22578.90509113469 -135 219.8425203211167 208.8188934326172
-6.999992847442627 68.33325958251953 3	5.479287e-05	-1.273857e-08	57.94979	6.365191	   89.2574768    	49.41989898681641 10912.27390415578 90 229.4832706451416 224.8818969726562
-7.999991416931152 149.9998474121094 3	0.002763995	-1.746645e-07	96.13076	21.27242	   82.6780243    	78.71566009521484 6804.38185431791 -38.65980825409009 223.8110290527344 214.842529296875
-10.33332252502441 125.6665344238281 3	0.0002038815	-4.744023e-08	68.1291	13.63241	   77.8861008    	101.8078536987305 135146.7726749333 -75.96375653207353 214.5011819458008 191.4173278808594
-14.66665172576904 47.33328247070312 3	2.286799e-05	1.016569e-08	54.98829	7.741699	   83.0428467    	26.892578125 25254.87071487607 153.434948822922 211.7778705797697 192.7559051513672
-7.666658878326416 193.3331298828125 3	1.983068e-05	1.040467e-08	68.68163	15.10643	   78.9918823    	39.0334358215332 19060.72832871238 71.56505117707799 225.073116847447 208.8188934326172
-14.99998474121094 178.9998168945312 3	0.008320197	-3.060015e-07	83.44025	9.317471	   75.3659973    	0 13263.49257961301 0 224.5472457885742 214.1732177734375
2.666663885116577 94.99990081787109 3	1.348155e-05	-6.720242e-09	60.71657	10.17547	   84.5014420    	12.35498237609863 8232.751519798354 -90 221.5354283650716 212.1653442382812
18.99998092651367 61.99993515014648 3	1.727966e-06	-5.46548e-08	27.05718	37.7166	   59.5108414    	27.34206962585449 6494.77265199795 116.565051177078 231.1732330322266 228.8976440429688
-14.99998474121094 47.66661834716797 3	0.0006805134	-1.552468e-07	49.11631	15.64805	   94.2568207    	17.17087364196777 14592.71725613123 135 213.5647846568714 204.1338653564453
